"Id","NA_L3CODE","X","Y"
358,"10.1.1",-1729007.33848054,6955901.29913869
359,"10.1.1",-1880623.58603049,7195906.25955902
360,"10.1.1",-1686016.2353004,7089571.41893895
361,"10.1.1",-1809043.42800049,7090664.38881889
362,"10.1.1",-1746817.21056046,7118841.56120897
363,"10.1.1",-1846320.95300043,7214361.55411905
364,"10.1.1",-1753232.88680044,7075747.55812888
365,"10.1.1",-1692422.49078045,7081755.98717895
366,"10.1.1",-1725277.12466044,7081969.21924891
367,"10.1.1",-1839593.62057045,7197581.23619904
368,"10.1.1",-1688579.53898041,7160939.69012908
369,"10.1.1",-1789066.29870048,7124676.90477896
370,"10.1.1",-1752909.37541043,7093766.58789891
371,"10.1.1",-1736003.87791047,7067503.39612889
372,"10.1.1",-1797407.44340042,7222892.50438911
373,"10.1.1",-1750371.96401048,7017235.19030878
374,"10.1.1",-1759410.80897044,7092654.62289891
375,"10.1.1",-1678629.6994905,6979012.65892877
376,"10.1.1",-1794270.75639055,6994538.09651873
377,"10.1.1",-1856454.58865053,7104627.62431889
378,"10.1.1",-1696344.3512405,7017871.27695884
379,"10.1.1",-1648097.28655045,7015025.42386885
380,"10.1.1",-1803646.22255043,7176871.14561902
381,"10.1.1",-1692389.11454046,6981368.80574876
382,"10.1.1",-1820792.2041404,7217525.95483907
383,"10.1.1",-1752742.76827047,7016969.71410878
384,"10.1.1",-1903676.81472045,7219198.13811902
385,"10.1.1",-1904871.14354047,7212128.67090902
386,"10.1.1",-1678613.57597042,7041430.47291887
387,"10.1.1",-1824830.07293046,7133454.65143895
388,"10.1.1",-1728952.62225049,7034796.33846884
389,"10.1.1",-1834343.22862044,7200465.41544905
390,"10.1.1",-1705514.73861042,7167152.39127907
391,"10.1.1",-1851854.28467046,7135121.62731892
392,"10.1.1",-1746428.04618049,7074380.9754889
393,"10.1.1",-1784824.70534052,7058498.35983886
394,"10.1.1",-1759016.61629052,7001023.55696876
395,"10.1.1",-1708611.63857046,7099592.80402897
396,"10.1.1",-1836407.18124043,7196852.87409903
397,"10.1.1",-1699532.88460051,6968864.83337874
398,"10.1.1",-1686332.86299041,7065419.7202989
399,"10.1.1",-1754080.92907051,6980348.81963871
400,"10.1.1",-1843585.87604048,7121979.93587891
401,"10.1.2",-1737985.11634072,6713936.57875816
402,"10.1.2",-1905742.88324998,6570643.09657998
403,"10.1.2",-1867769.36570001,6734811.90675
404,"10.1.2",-1793830.2112,6691161.98599999
405,"10.1.2",-2014031.11452001,6606286.39983999
406,"10.1.2",-1840938.86208003,6615677.49493
407,"10.1.2",-1770782.09747001,6690356.42228
408,"10.1.2",-1840106.82788,6588655.43487
409,"10.1.2",-2010697.40128001,6618034.78258999
410,"10.1.2",-1751718.62496067,6816555.5240384
411,"10.1.2",-1957642.99102,6698257.00041999
412,"10.1.2",-1684747.55270064,6761018.43529832
413,"10.1.2",-1751889.57941003,6610627.96867001
414,"10.1.2",-1707865.62328066,6709599.16334816
415,"10.1.2",-1858684.17911999,6664833.50870999
416,"10.1.2",-1930656.38823002,6527912.85349001
417,"10.1.2",-1622734.52019,6519763.93442999
418,"10.1.2",-1903537.46805003,6599321.92618
419,"10.1.2",-1820965.60783,6664901.58961999
420,"10.1.2",-1731908.8693,6684599.66205999
421,"10.1.2",-1905694.51838998,6633717.32522998
422,"10.1.2",-1953366.58487001,6696232.36440999
423,"10.1.2",-1729582.37988003,6694656.69466
424,"10.1.2",-1886708.10691004,6548022.77872
425,"10.1.2",-1753031.7475307,6763336.20600828
426,"10.1.2",-1761829.77091999,6709386.58995999
427,"10.1.2",-1990222.09156998,6568420.29180999
428,"10.1.2",-1709091.75375002,6580849.99853
429,"10.1.2",-1828633.95920067,6814465.10032832
430,"10.1.2",-1994061.72014001,6634939.35707
431,"10.1.2",-1745034.67787057,6940684.59947866
432,"10.1.2",-1749878.25662,6627700.09880999
433,"10.1.2",-1735033.1592507,6743700.22039824
434,"10.1.2",-1785945.71841075,6742699.0662082
435,"10.1.2",-1770212.45951002,6606531.45487
436,"10.1.2",-2039894.40275999,6586296.82817999
437,"10.1.2",-1984262.07427003,6589809.14236001
438,"10.1.2",-1626328.43286004,6533865.35880001
439,"10.1.2",-1985851.24962,6574013.54213999
440,"10.1.2",-1972533.41807997,6568751.35782997
441,"10.1.2",-1866074.65239004,6740895.82795
442,"10.1.2",-1807618.35623072,6739298.93671816
443,"10.1.2",-1729523.69385064,6778399.64801832
444,"10.1.2",-1768333.83815059,6871773.87329849
445,"10.1.2",-1909620.45334998,6684627.32915999
446,"10.1.2",-1853451.99357,6728970.61497999
447,"10.1.2",-1654707.72507001,6593189.25121999
448,"10.1.2",-1921501.82102003,6758451.46319
449,"10.1.2",-1794060.87557001,6629306.25569
450,"10.1.2",-1964335.37761003,6587183.56718001
451,"10.1.2",-1789274.34514063,6847616.74732843
452,"10.1.2",-1801755.61217069,6749229.00399818
453,"10.1.2",-1886046.81187003,6674430.82677
454,"10.1.2",-1706255.98209999,6671232.02752999
455,"10.1.2",-1808966.97008001,6660271.10834999
456,"10.1.2",-1738837.51226052,6926155.13101862
457,"10.1.2",-2000485.57224003,6550277.31788
458,"10.1.2",-1932492.40925997,6552634.07785998
459,"10.1.2",-1984917.89699002,6610079.74312
460,"10.1.2",-1831283.47179076,6758029.4977582
461,"10.1.2",-1796509.91618999,6695072.15481999
462,"10.1.2",-1772142.96993071,6738879.8930082
463,"10.1.2",-1799255.45102003,6725155.12370001
464,"10.1.2",-1875537.55932,6675066.55367
465,"10.1.2",-1745812.87023069,6743601.94132822
466,"10.1.2",-1713603.89955068,6728603.59870821
467,"10.1.2",-1941242.17536999,6624370.35179999
468,"10.1.2",-1854490.85481003,6662295.91413
469,"10.1.2",-1921144.12310997,6555019.28673998
470,"10.1.2",-1841345.36116073,6747909.42653815
471,"10.1.2",-1695909.73983004,6586198.98779
472,"10.1.2",-1729074.70594068,6732355.92745821
473,"10.1.2",-1784272.86863997,6696610.17358998
474,"10.1.2",-1906858.98650002,6682143.59141
475,"10.1.2",-1661720.00544003,6582692.14609
476,"10.1.2",-1826578.32620003,6604971.10912
477,"10.1.2",-1789660.70869063,6818356.05513835
478,"10.1.2",-1970787.27827001,6603149.93072999
479,"10.1.2",-1706369.60534001,6609441.93259
480,"10.1.2",-1746399.59870063,6787362.12309833
481,"10.1.2",-1800856.49851062,6846483.57472841
482,"10.1.2",-1969003.74628999,6556946.04247998
483,"10.1.2",-1720043.84032,6601508.62040999
484,"10.1.2",-1829157.5251107,6787366.10824825
485,"10.1.2",-1927454.76954001,6605818.20807
486,"10.1.2",-1906058.87237002,6674399.58557
487,"10.1.2",-1742474.16777003,6694290.74975001
488,"10.1.2",-1846254.86002001,6691485.12583
489,"10.1.2",-1884586.9645,6701181.90048999
490,"10.1.2",-1629856.97571001,6513270.91615
491,"10.1.2",-1732841.90899999,6632014.93432999
492,"10.1.2",-1880694.24302004,6687929.97448001
493,"10.1.2",-1713006.47232001,6612287.27601
494,"10.1.2",-1820782.48684066,6865204.52812845
495,"10.1.2",-1816846.89835,6721436.70944
496,"10.1.2",-1827245.63050999,6554214.36761998
497,"10.1.2",-1673706.54665999,6675111.29933998
498,"10.1.2",-1802278.26215,6713281.9652
499,"10.1.2",-1785442.01309073,6727089.60687816
500,"10.1.2",-1981340.04386,6550534.29271999
501,"10.1.3",-1900192.76655,6149651.88975999
502,"10.1.3",-1819147.97049997,6021016.64045998
503,"10.1.3",-1816440.5387,6233356.34835999
504,"10.1.3",-1876763.31395,6346834.47767999
505,"10.1.3",-1856648.84760999,6261669.53494998
506,"10.1.3",-1449707.44072998,6007916.01296997
507,"10.1.3",-1729821.05401,6023103.54440998
508,"10.1.3",-1861555.32989,6145533.25864998
509,"10.1.3",-1919062.33977999,6251675.13113999
510,"10.1.3",-1926997.33226997,6274231.08004997
511,"10.1.3",-1786424.15507001,6015979.28482999
512,"10.1.3",-1874984.44100001,6314848.06848999
513,"10.1.3",-2001981.37514001,6259132.22249999
514,"10.1.3",-2076701.34088001,6377337.00708999
515,"10.1.3",-1855281.75609002,6109148.13939999
516,"10.1.3",-1391899.48594004,6094616.06231999
517,"10.1.3",-1973737.55221999,6255953.51797998
518,"10.1.3",-2002389.72005003,6402480.21
519,"10.1.3",-1433369.03021004,6036926.15131999
520,"10.1.3",-1917417.77718,6244385.66451999
521,"10.1.3",-1868775.56944002,6262873.59606999
522,"10.1.3",-2166327.14955999,6075232.27966997
523,"10.1.3",-2084363.51808002,6154022.25846999
524,"10.1.3",-2061987.73118998,6157612.73011997
525,"10.1.3",-1490940.63064997,6063364.29132998
526,"10.1.3",-1820285.01004,6119909.28561998
527,"10.1.3",-1378311.66191001,6035441.00061999
528,"10.1.3",-2020270.23158,6181271.85102999
529,"10.1.3",-1433574.9462,6062772.05025999
530,"10.1.3",-1888492.68630999,6085578.72406998
531,"10.1.3",-2097204.57668001,6391557.77302999
532,"10.1.3",-1958225.12539002,6340200.37524
533,"10.1.3",-1823428.56895003,6151713.21350999
534,"10.1.3",-1841900.79251001,6199170.12701999
535,"10.1.3",-1702724.99501997,6123504.95487998
536,"10.1.3",-1852972.07290998,6240479.85163997
537,"10.1.3",-2063939.41199001,6359807.05699
538,"10.1.3",-2102251.53698999,6325141.17826998
539,"10.1.3",-2049293.16376003,6229550.5384
540,"10.1.3",-1785783.52388,6259527.00310998
541,"10.1.3",-1922828.34097002,6092955.17663999
542,"10.1.3",-1791588.66415998,6066498.05167998
543,"10.1.3",-1766523.75169002,6073887.96646999
544,"10.1.3",-1865941.40533997,6296113.98131998
545,"10.1.3",-1800619.02178998,6262845.31566998
546,"10.1.3",-1841154.20643997,6275448.28803998
547,"10.1.3",-2090880.21375002,6154071.50864999
548,"10.1.3",-2100817.43812001,6168101.99169998
549,"10.1.3",-1631782.6527,6017700.43069998
550,"10.1.3",-1935805.72327002,6286185.45374
551,"10.1.3",-1866493.06516002,6187410.72545
552,"10.1.3",-1751059.87062996,6073846.37082998
553,"10.1.3",-1821490.48523003,6075597.69834999
554,"10.1.3",-1852149.33621002,6225001.71060999
555,"10.1.3",-2001941.78218001,6244260.93106999
556,"10.1.3",-1630758.86916999,6065494.10189998
557,"10.1.3",-1908761.52050002,6252981.4427
558,"10.1.3",-1654246.81809002,6041859.17083999
559,"10.1.3",-2065463.52503004,6206059.21111
560,"10.1.3",-1841229.20511002,6073732.38480999
561,"10.1.3",-1910755.22357003,6191417.71160999
562,"10.1.3",-1425797.08429002,6094151.38285999
563,"10.1.3",-2063864.29533001,6191958.80972999
564,"10.1.3",-1880453.83027004,6151160.68851
565,"10.1.3",-1869045.18290999,6330118.38861999
566,"10.1.3",-2045444.80293998,6256542.56926997
567,"10.1.3",-2100604.28599998,6345883.88192997
568,"10.1.3",-1503727.81612001,6015735.28670999
569,"10.1.3",-1863564.82333998,6262964.51300998
570,"10.1.3",-1889292.02684002,6257243.96278999
571,"10.1.3",-1476093.74317999,6076376.77744998
572,"10.1.3",-1529785.01873997,6054346.99911998
573,"10.1.3",-2025617.95690002,6104944.11813999
574,"10.1.3",-1467728.41639003,6014370.27938
575,"10.1.3",-2045127.22188001,6141460.21428998
576,"10.1.3",-1405085.83956001,6096601.72396999
577,"10.1.3",-1454127.67762001,6030985.79462999
578,"10.1.3",-1720333.55007,6135907.53691998
579,"10.1.3",-1722034.74780999,6070399.11557998
580,"10.1.3",-1425778.23525996,6069776.78422998
581,"10.1.3",-1811609.47822999,6169590.92165998
582,"10.1.3",-1881999.61828,6081800.74232998
583,"10.1.3",-1889642.38618004,6128692.15928
584,"10.1.3",-2191765.82026998,6053467.66619997
585,"10.1.3",-1587967.80666998,6034771.45946997
586,"10.1.3",-2121648.02085,6109530.45027999
587,"10.1.3",-1844383.16011,6199326.07390998
588,"10.1.3",-1902978.05105998,6132911.65703998
589,"10.1.3",-1690343.76303004,6144623.58211
590,"10.1.3",-1677304.14005001,6068486.10430999
591,"10.1.3",-1438424.33886002,6102043.57217999
592,"10.1.3",-1872841.31101003,6153313.55349999
593,"10.1.3",-1937133.79439003,6338187.76687
594,"10.1.3",-1745552.35849998,6136715.59541998
595,"10.1.3",-1855367.70685004,6234946.30666
596,"10.1.3",-1663043.18848003,5963641.06609999
597,"10.1.3",-1947932.05713998,6286085.75114998
598,"10.1.3",-1875874.44316004,6278240.68252
599,"10.1.3",-2111892.43922997,6357309.37634998
600,"10.1.3",-1996252.97951,6256240.55243998
601,"10.1.4",-1266858.59254999,5847635.84693998
602,"10.1.4",-1206303.28003003,5898828.89730999
603,"10.1.4",-1163485.35663997,5761517.62021998
604,"10.1.4",-1068040.66680004,5868846.70598999
605,"10.1.4",-1335579.45117003,5912025.70921999
606,"10.1.4",-957738.145293021,5760867.00049998
607,"10.1.4",-1277134.18971,5991249.29545999
608,"10.1.4",-961960.244306971,5933091.30514998
609,"10.1.4",-1299458.83625998,5883390.58452998
610,"10.1.4",-1236385.13593001,5885948.89954998
611,"10.1.4",-1279336.32252001,5841588.93968998
612,"10.1.4",-1092285.82114001,6208560.86935999
613,"10.1.4",-1027187.84717004,5958997.38925999
614,"10.1.4",-1167848.14119004,5747198.64126999
615,"10.1.4",-909759.863032024,5802281.46160998
616,"10.1.4",-964398.309490971,5861383.37360998
617,"10.1.4",-1148135.63940001,5839903.71202998
618,"10.1.4",-1170610.11420998,5954722.00933998
619,"10.1.4",-914512.478037999,5856234.54755998
620,"10.1.4",-1386385.85592,5887017.51106998
621,"10.1.4",-1306346.80434998,5862844.79675998
622,"10.1.4",-1336581.67209997,5932384.94674997
623,"10.1.4",-1281782.29132002,5833371.48258998
624,"10.1.4",-1204296.79066001,5954899.58779999
625,"10.1.4",-917983.182560016,5799344.76367999
626,"10.1.4",-1381807.77925001,5903750.25718999
627,"10.1.4",-1047836.66292999,6200889.33725999
628,"10.1.4",-1086291.82889997,5973318.18782998
629,"10.1.4",-1260031.54196999,5922654.39615998
630,"10.1.4",-1165827.12092004,6192882.9625
631,"10.1.4",-1130628.72129997,5917386.59160998
632,"10.1.4",-1018979.77368998,6129518.05762998
633,"10.1.4",-1112887.89191004,6054596.69310999
634,"10.1.4",-1141729.46458998,5958974.04477999
635,"10.1.4",-1028564.13817002,5973844.67232999
636,"10.1.4",-1248379.19739003,6044742.75817999
637,"10.1.4",-1132813.72934999,5738684.28019998
638,"10.1.4",-1113425.57921001,6074553.85823999
639,"10.1.4",-1148358.57635997,5779027.60337998
640,"10.1.4",-1186208.44836003,5832354.4684
641,"10.1.4",-1263558.03734003,5973134.68516999
642,"10.1.4",-1045399.59555998,5991689.79568999
643,"10.1.4",-1125329.60985998,5812732.52524998
644,"10.1.4",-1134776.93779999,6061730.34078998
645,"10.1.4",-1385625.48320996,5914428.33064997
646,"10.1.4",-1360371.83213004,5984725.46441
647,"10.1.4",-1089534.17091003,6051295.21734999
648,"10.1.4",-1002419.44599998,5971834.88888999
649,"10.1.4",-937844.82386398,5835256.81834998
650,"10.1.4",-1136300.23351004,6165471.78001
651,"10.1.4",-1107857.62332999,5873265.25154998
652,"10.1.4",-1103825.63302997,5892919.53162998
653,"10.1.4",-1161173.70365004,5894559.25184999
654,"10.1.4",-1096951.18142998,6220471.90083999
655,"10.1.4",-982830.723887994,5840040.71382998
656,"10.1.4",-1192577.13233998,5795670.02284997
